omg,A_omg
-23.712090945933532,3.947237421542269e-08
-23.58025394129337,3.9190637179411455e-08
-23.44866931186757,3.891624935831547e-08
-23.317337981704448,3.8649184137787415e-08
-23.18626087757707,3.838942309848471e-08
-23.05543892897804,3.813695796008705e-08
-22.924873068114078,3.789179312123888e-08
-22.794564229900253,3.765394897777219e-08
-22.664513351954206,3.7423466256871946e-08
-22.534721374590003,3.7200411676687274e-08
-22.405189240811765,3.698488533402136e-08
-22.275917896307188,3.6777030343632884e-08
-22.146908289440752,3.657704540914944e-08
-22.018161371246585,3.638520120817414e-08
-21.889678095421356,3.6201861735966395e-08
-21.76145941831671,3.6027512090082616e-08
-21.63350629893155,3.586279461444198e-08
-21.505819698904055,3.570855588268461e-08
-21.378400582503495,3.556590772342532e-08
-21.251249916621738,3.543630641817697e-08
-21.124368670764575,3.532165539392949e-08
-20.997757817042718,3.522443825881691e-08
-20.871418330162584,3.514789098204096e-08
-20.745351187416844,3.509622451457074e-08
-20.619557368674723,3.507491232947968e-08
-20.494037856371904,3.509106141430859e-08
-20.368793635500364,3.5153890400816774e-08
-20.243825693597785,3.5275345057877666e-08
-20.119135020736834,3.5470889658922065e-08
-19.994722609513992,3.576052321210153e-08
-19.87058945503834,3.617008276308667e-08
-19.746736554919803,3.6732912631373714e-08
-19.623164909257394,3.749199936656044e-08
-19.49987552062688,3.8502698448900675e-08
-19.376869394068514,3.9836211581203235e-08
-19.254147537074083,4.158401437859221e-08
-19.13171095957403,4.386348524503264e-08
-19.009560673924035,4.68250495132992e-08
-18.887697694891397,5.066123126705163e-08
-18.76612303964115,5.561810195279892e-08
-18.64483772772187,6.200973385149497e-08
-18.523842781051062,7.023641236326623e-08
-18.403139223900364,8.080753933694784e-08
-18.282728082880503,9.437037674440469e-08
-18.162610386925753,1.1174604327324133e-07
-18.042787167278213,1.3397449441551103e-07
-17.923259457471765,1.6237059906633554e-07
-17.80402829331565,1.9859388344038467e-07
-17.685094712877863,2.4473505840787694e-07
-17.56645975646796,3.0342309244608407e-07
-17.448124466619888,3.7795735360835284e-07
-17.330089888074262,4.724702353112731e-07
-17.212357067760255,5.921267177750265e-07
-17.094927054777468,7.433685149057602e-07
-16.977800900377087,9.342118296320003e-07
-16.860979657943027,1.1746093016202343e-06
-16.744464382972485,1.4768884891981632e-06
-16.628256133056333,1.8562811867385114e-06
-16.5123559678591,2.3315600377368984e-06
-16.39676494909858,2.9258012516223723e-06
-16.281484140525144,3.6672947470176332e-06
-16.166514607900684,4.590625689937478e-06
-16.051857418977217,5.737954119483695e-06
-15.937513643475114,7.160522083532329e-06
-15.82348435306099,8.920420347298892e-06
-15.709770621325216,1.1092649167947458e-05
-15.596373523759134,1.3767509700225903e-05
-15.48329413773181,1.705336413468304e-05
-15.370533542466482,2.1079803465480908e-05
-15.258092819016724,2.600126160610047e-05
-15.145973050242016,3.20011131614249e-05
-15.034175320783227,3.9296289248701825e-05
-14.922700717037493,4.814244105327028e-05
-14.811550327132789,5.883967402450828e-05
-14.700725240902308,7.173886649708874e-05
-14.590226549858105,8.724857482859957e-05
-14.480055347164715,0.00010584251269809004
-14.37021272761212,0.00012806757490698987
-14.260699787588564,0.0001545523558603348
-14.151517625052787,0.0001860160900007516
-14.04266733950601,0.00022327791608472145
-13.934150031963433,0.0002672663397585998
-13.825966804925425,0.00031902874001909554
-13.718118762348244,0.0003797407356242872
-13.610607009614508,0.00045071519833492945
-13.503432653503026,0.0005334106721656106
-13.396596802158566,0.0006294389329159135
-13.290100565060875,0.0007405714015364557
-13.183945052993526,0.0008687441098537919
-13.078131378012351,0.0010160609092913573
-12.972660653413385,0.0011847946138875947
-12.867533993700505,0.0013773857793794517
-12.762752514552503,0.0015964388413761254
-12.65831733279001,0.0018447153684121396
-12.554229566341814,0.0021251242301769087
-12.45049033421077,0.0024407085373398356
-12.347100756439474,0.002794629276370038
-12.244061954075331,0.0031901456393866835
-12.141375049135377,0.0036305921335688498
-12.039041164570573,0.00411935264466024
-11.937061424229721,0.004659831721976305
-11.835436952823045,0.005255423444781224
-11.734168875885203,0.005909478318744647
-11.633258319738129,0.006625268732842353
-11.532706411453141,0.007405953578124569
-11.432514278812945,0.008254542687067497
-11.332683050273026,0.009173861792943949
-11.233213854922742,0.010166518730317063
-11.134107822445877,0.011234871599035575
-11.035366083080966,0.012380999593829156
-10.936989767580972,0.013606677159794873
-10.838980007172847,0.01491335207159884
-10.741337933516284,0.016302127952543693
-10.64406467866246,0.01777375165128322
-10.547161375012156,0.019328605781866175
-10.450629155273408,0.020966706610559063
-10.3544691524189,0.022687707344421867
-10.258682499642852,0.02449090674630748
