iw_n,Sigma_iw_n
-1065.7391078383728j,"[[ 0.3884539 +1.16366680e-03j -0.16074953-4.69395577e-08j]
 [-0.16086521-4.69395059e-08j  3.61154658+1.16374459e-03j]]"
-1065.3695087026563j,"[[ 0.38847229+1.16023771e-03j -0.16075199-5.52063446e-08j]
 [-0.16086767-5.52063021e-08j  3.61152811+1.16027779e-03j]]"
-1064.9999095669398j,"[[ 0.38840202+1.06223986e-03j -0.16074241-5.19331816e-08j]
 [-0.16085809-5.19331511e-08j  3.61159827+1.06237411e-03j]]"
-1064.6303104312233j,"[[ 0.38843248+1.07802965e-03j -0.16071188-7.02770238e-08j]
 [-0.16082756-7.02770107e-08j  3.61156765+1.07807625e-03j]]"
-1064.2607112955068j,"[[ 0.38842415+1.13087319e-03j -0.16071613-6.45977967e-08j]
 [-0.16083181-6.45977743e-08j  3.61157606+1.13084528e-03j]]"
-1063.8911121597905j,"[[ 0.38848854+1.18581721e-03j -0.16074028-6.13503778e-08j]
 [-0.16085596-6.13503563e-08j  3.61151167+1.18571287e-03j]]"
-1063.521513024074j,"[[ 0.38855924+1.23618242e-03j -0.16074045-6.62756489e-08j]
 [-0.16085613-6.62756138e-08j  3.61144109+1.23598239e-03j]]"
-1063.1519138883577j,"[[ 0.38856434+1.22815926e-03j -0.16072855-6.31182861e-08j]
 [-0.16084423-6.31182362e-08j  3.61143612+1.22790315e-03j]]"
-1062.7823147526412j,"[[ 0.38860366+1.20332441e-03j -0.16072399-7.94595456e-08j]
 [-0.16083967-7.94594785e-08j  3.61139696+1.20310931e-03j]]"
-1062.4127156169247j,"[[ 0.38861683+1.13789415e-03j -0.16072112-6.41728076e-08j]
 [-0.16083679-6.41727200e-08j  3.61138398+1.13770743e-03j]]"
-1062.0431164812085j,"[[ 0.38869794+1.09990416e-03j -0.16069851-6.28824392e-08j]
 [-0.16081419-6.28823506e-08j  3.61130288+1.09968619e-03j]]"
-1061.673517345492j,"[[ 0.38868058+1.18345154e-03j -0.16070015-5.66289766e-08j]
 [-0.16081583-5.66288820e-08j  3.6113203 +1.18340367e-03j]]"
-1061.3039182097755j,"[[ 0.3887204 +1.18276328e-03j -0.16072969-5.50194953e-08j]
 [-0.16084537-5.50194065e-08j  3.61128042+1.18271513e-03j]]"
-1060.934319074059j,"[[ 0.38869696+1.17538172e-03j -0.16075075-5.01385203e-08j]
 [-0.16086643-5.01384164e-08j  3.611304  +1.17526941e-03j]]"
-1060.5647199383425j,"[[ 0.38871348+1.02360407e-03j -0.16074205-2.09017714e-08j]
 [-0.16085773-2.09016695e-08j  3.61128746+1.02359592e-03j]]"
-1060.195120802626j,"[[ 0.38867014+1.02610554e-03j -0.16072052+6.98371274e-09j]
 [-0.16083619+6.98381981e-09j  3.61133085+1.02608603e-03j]]"
-1059.8255216669097j,"[[ 0.38863488+1.02354594e-03j -0.16072348+3.27597557e-08j]
 [-0.16083916+3.27598643e-08j  3.61136612+1.02361403e-03j]]"
-1059.4559225311932j,"[[ 0.38867535+1.00451986e-03j -0.16074104+2.99829171e-08j]
 [-0.16085672+2.99830103e-08j  3.61132551+1.00454575e-03j]]"
-1059.0863233954767j,"[[ 0.38872059+8.99839137e-04j -0.16071748+1.93322338e-08j]
 [-0.16083316+1.93323212e-08j  3.61128022+8.99915635e-04j]]"
-1058.7167242597602j,"[[ 0.38870915+8.91347311e-04j -0.16070588+9.21441440e-09j]
 [-0.16082156+9.21449514e-09j  3.6112916 +8.91394746e-04j]]"
