iw_n,Sigma_iw_n
-549.0395161067809j,"[[ 1.1814546 +4.70667732e-03j -0.68069653-8.76302180e-08j]
 [-0.68095001-8.76303920e-08j  2.81854546+4.70661612e-03j]]"
-548.6699169710645j,"[[ 1.18140613+4.64468316e-03j -0.68072509-1.19716964e-07j]
 [-0.68097857-1.19717074e-07j  2.81859405+4.64459431e-03j]]"
-548.300317835348j,"[[ 1.18130362+4.58044661e-03j -0.68072387-1.01410893e-07j]
 [-0.68097734-1.01410911e-07j  2.81869662+4.58021463e-03j]]"
-547.9307186996315j,"[[ 1.18121849+4.60167320e-03j -0.68068561-8.01655414e-08j]
 [-0.68093908-8.01653922e-08j  2.81878178+4.60129332e-03j]]"
-547.5611195639151j,"[[ 1.18128701+4.67894887e-03j -0.68064264-8.93065673e-08j]
 [-0.68089612-8.93063007e-08j  2.81871334+4.67851307e-03j]]"
-547.1915204281986j,"[[ 1.1813957 +4.71748487e-03j -0.68064465-1.31047850e-07j]
 [-0.68089813-1.31047502e-07j  2.81860476+4.71721889e-03j]]"
-546.8219212924823j,"[[ 1.18142649+4.68533472e-03j -0.68065232-1.38126830e-07j]
 [-0.6809058 -1.38126460e-07j  2.81857406+4.68526969e-03j]]"
-546.4523221567658j,"[[ 1.18143005+4.63566773e-03j -0.68065101-9.29958709e-08j]
 [-0.68090449-9.29955523e-08j  2.81857044+4.63572615e-03j]]"
-546.0827230210493j,"[[ 1.18139114+4.65185919e-03j -0.68061991-6.34371400e-08j]
 [-0.68087339-6.34368572e-08j  2.81860919+4.65190899e-03j]]"
-545.713123885333j,"[[ 1.18141811+4.67506244e-03j -0.68056734-6.03979580e-08j]
 [-0.68082082-6.03977054e-08j  2.81858208+4.67505613e-03j]]"
-545.3435247496164j,"[[ 1.18152827+4.73375668e-03j -0.68056794-6.42761822e-08j]
 [-0.68082142-6.42760650e-08j  2.81847185+4.73369359e-03j]]"
-544.9739256139j,"[[ 1.18160293+4.77237900e-03j -0.6806473 -9.27458656e-08j]
 [-0.68090078-9.27458566e-08j  2.81839722+4.77226716e-03j]]"
-544.6043264781836j,"[[ 1.18161518+4.79689218e-03j -0.68072148-1.02075142e-07j]
 [-0.68097496-1.02075190e-07j  2.81838498+4.79668837e-03j]]"
-544.2347273424671j,"[[ 1.18155908+4.76894581e-03j -0.68071354-1.15665237e-07j]
 [-0.68096702-1.15665330e-07j  2.81844098+4.76868798e-03j]]"
-543.8651282067506j,"[[ 1.18145477+4.76189164e-03j -0.68065266-1.87646698e-07j]
 [-0.68090614-1.87646757e-07j  2.81854528+4.76167086e-03j]]"
-543.4955290710342j,"[[ 1.1814652 +4.80467244e-03j -0.68059134-2.33170222e-07j]
 [-0.68084482-2.33170165e-07j  2.81853501+4.80454982e-03j]]"
-543.1259299353178j,"[[ 1.1815305 +4.86805115e-03j -0.68054551-2.14383462e-07j]
 [-0.68079899-2.14383337e-07j  2.81846987+4.86800555e-03j]]"
-542.7563307996014j,"[[ 1.18157367+4.89777229e-03j -0.68052558-1.65800246e-07j]
 [-0.68077906-1.65800089e-07j  2.81842667+4.89770217e-03j]]"
-542.3867316638849j,"[[ 1.18161689+4.93152008e-03j -0.68052125-1.72538925e-07j]
 [-0.68077473-1.72538808e-07j  2.81838323+4.93137579e-03j]]"
-542.0171325281684j,"[[ 1.18160587+4.93332138e-03j -0.68055167-2.24449919e-07j]
 [-0.68080515-2.24449875e-07j  2.81839415+4.93310900e-03j]]"
-541.647533392452j,"[[ 1.18153925+4.88765340e-03j -0.68058886-2.52256173e-07j]
 [-0.68084234-2.52256233e-07j  2.81846083+4.88735924e-03j]]"
-541.2779342567355j,"[[ 1.18153234+4.87005880e-03j -0.68057855-2.46831207e-07j]
 [-0.68083203-2.46831409e-07j  2.81846786+4.86967099e-03j]]"
-540.908335121019j,"[[ 1.18149155+4.85609882e-03j -0.68051627-2.19306193e-07j]
 [-0.68076975-2.19306562e-07j  2.81850864+4.85560663e-03j]]"
-540.5387359853027j,"[[ 1.18144307+4.84376431e-03j -0.68047933-1.99923301e-07j]
 [-0.68073281-1.99923756e-07j  2.81855704+4.84330402e-03j]]"
-540.1691368495862j,"[[ 1.18143111+4.92167285e-03j -0.68049028-2.17236440e-07j]
 [-0.68074376-2.17236847e-07j  2.818569  +4.92128288e-03j]]"
-539.7995377138697j,"[[ 1.1815476 +5.03106781e-03j -0.68055211-2.41994060e-07j]
 [-0.68080559-2.41994400e-07j  2.81845265+5.03074772e-03j]]"
-539.4299385781533j,"[[ 1.18167199+5.06516291e-03j -0.68060876-2.08494050e-07j]
 [-0.68086224-2.08494247e-07j  2.81832847+5.06481463e-03j]]"
-539.0603394424369j,"[[ 1.18171034+5.08426067e-03j -0.68061423-1.73524235e-07j]
 [-0.68086771-1.73524268e-07j  2.81829024+5.08393452e-03j]]"
-538.6907403067205j,"[[ 1.1816856 +5.13293481e-03j -0.68059609-1.45546921e-07j]
 [-0.68084957-1.45546820e-07j  2.81831503+5.13269487e-03j]]"
-538.321141171004j,"[[ 1.18168153+5.19858268e-03j -0.68064687-1.19034983e-07j]
 [-0.68090035-1.19034758e-07j  2.81831916+5.19849552e-03j]]"
-537.9515420352875j,"[[ 1.18169355+5.20093639e-03j -0.68071041-1.07337154e-07j]
 [-0.68096389-1.07336831e-07j  2.81830719+5.20096181e-03j]]"
-537.5819428995711j,"[[ 1.18172108+5.15951751e-03j -0.68077572-1.06544766e-07j]
 [-0.6810292 -1.06544423e-07j  2.81827963+5.15955927e-03j]]"
-537.2123437638546j,"[[ 1.18169103+5.09820139e-03j -0.68082371-1.12997661e-07j]
 [-0.68107719-1.12997274e-07j  2.81830957+5.09819504e-03j]]"
-536.8427446281381j,"[[ 1.1816444 +5.09648289e-03j -0.68086353-8.97272870e-08j]
 [-0.68111701-8.97268897e-08j  2.81835602+5.09649053e-03j]]"
-536.4731454924217j,"[[ 1.18159961+5.07825936e-03j -0.68090882-5.65014560e-08j]
 [-0.6811623 -5.65010786e-08j  2.81840072+5.07830778e-03j]]"
-536.1035463567052j,"[[ 1.18163439+5.11307481e-03j -0.68093147-4.87747522e-08j]
 [-0.68118495-4.87744672e-08j  2.81836589+5.11307945e-03j]]"
-535.7339472209887j,"[[ 1.18175691+5.14383657e-03j -0.68092774-3.11284693e-08j]
 [-0.68118122-3.11283342e-08j  2.81824333+5.14374436e-03j]]"
-535.3643480852725j,"[[ 1.18186835+5.14924535e-03j -0.6809358 -2.24674623e-08j]
 [-0.68118928-2.24674590e-08j  2.81813187+5.14910806e-03j]]"
-534.994748949556j,"[[ 1.18188188+5.14063884e-03j -0.68099197-2.74737916e-08j]
 [-0.68124545-2.74738366e-08j  2.81811836+5.14058043e-03j]]"
-534.6251498138396j,"[[ 1.18178177+5.11422438e-03j -0.68108073-7.81481466e-09j]
 [-0.68133421-7.81489586e-09j  2.81821852+5.11435650e-03j]]"
-534.2555506781231j,"[[ 1.18165622+5.01064568e-03j -0.68114374-3.16096508e-09j]
 [-0.68139722-3.16112689e-09j  2.81834407+5.01090957e-03j]]"
-533.8859515424066j,"[[ 1.18165675+4.92133234e-03j -0.68112625-9.69893909e-09j]
 [-0.68137973-9.69917467e-09j  2.81834353+4.92157835e-03j]]"
-533.5163524066902j,"[[ 1.1816931 +4.87940734e-03j -0.68105766+2.98648409e-08j]
 [-0.68131114+2.98645489e-08j  2.81830711+4.87961713e-03j]]"
-533.1467532709737j,"[[ 1.18165318+4.83777871e-03j -0.68097069+5.84178222e-08j]
 [-0.68122417+5.84174742e-08j  2.81834698+4.83802982e-03j]]"
-532.7771541352572j,"[[ 1.18164744+4.81571526e-03j -0.68092056+5.63360267e-08j]
 [-0.68117404+5.63356749e-08j  2.81835269+4.81605048e-03j]]"
-532.4075549995408j,"[[ 1.18164905+4.85855339e-03j -0.68093229+6.11459694e-08j]
 [-0.68118577+6.11455727e-08j  2.81835098+4.85879648e-03j]]"
-532.0379558638243j,"[[ 1.18156225+4.89064764e-03j -0.68100745+8.09564141e-08j]
 [-0.68126093+8.09560033e-08j  2.8184377 +4.89068936e-03j]]"
-531.6683567281079j,"[[ 1.18149997+4.83971908e-03j -0.68106804+1.07407053e-07j]
 [-0.68132152+1.07406719e-07j  2.81849992+4.83960710e-03j]]"
-531.2987575923916j,"[[ 1.18141797+4.76576889e-03j -0.6810204 +1.00842661e-07j]
 [-0.68127388+1.00842470e-07j  2.81858196+4.76562350e-03j]]"
-530.929158456675j,"[[ 1.18131183+4.78422212e-03j -0.68091737+1.05325796e-07j]
 [-0.68117085+1.05325781e-07j  2.81868825+4.78410416e-03j]]"
-530.5595593209587j,"[[ 1.18123949+4.84480730e-03j -0.68081716+1.36896000e-07j]
 [-0.68107064+1.36896153e-07j  2.81876073+4.84473295e-03j]]"
-530.1899601852422j,"[[ 1.18122144+4.84958386e-03j -0.68078265+1.70179804e-07j]
 [-0.68103613+1.70179977e-07j  2.81877874+4.84949938e-03j]]"
-529.8203610495257j,"[[ 1.18126059+4.85717899e-03j -0.68082557+1.88483034e-07j]
 [-0.68107905+1.88483119e-07j  2.81873954+4.85709910e-03j]]"
-529.4507619138093j,"[[ 1.1812816 +4.89903447e-03j -0.6808309 +1.53551145e-07j]
 [-0.68108438+1.53551274e-07j  2.81871865+4.89899981e-03j]]"
-529.0811627780928j,"[[ 1.18129409+4.95648619e-03j -0.68080533+1.28776979e-07j]
 [-0.68105881+1.28777188e-07j  2.81870632+4.95654276e-03j]]"
-528.7115636423763j,"[[ 1.1813303 +4.96778653e-03j -0.6808068 +1.24415861e-07j]
 [-0.68106028+1.24415931e-07j  2.81867009+4.96788296e-03j]]"
-528.3419645066599j,"[[ 1.18132247+5.00678224e-03j -0.68081477+1.45799205e-07j]
 [-0.68106825+1.45799095e-07j  2.81867778+5.00682535e-03j]]"
-527.9723653709434j,"[[ 1.18131141+5.01661503e-03j -0.680868  +1.51034988e-07j]
 [-0.68112148+1.51034786e-07j  2.81868872+5.01650608e-03j]]"
-527.602766235227j,"[[ 1.18134942+4.99216184e-03j -0.68085963+1.38252397e-07j]
 [-0.68111311+1.38252179e-07j  2.81865073+4.99195791e-03j]]"
-527.2331670995106j,"[[ 1.18142641+4.98318081e-03j -0.68082626+1.57001142e-07j]
 [-0.68107974+1.57000960e-07j  2.81857382+4.98295201e-03j]]"
-526.8635679637941j,"[[ 1.18146417+4.99800230e-03j -0.68083501+2.15123045e-07j]
 [-0.68108849+2.15122850e-07j  2.81853606+4.99778240e-03j]]"
-526.4939688280778j,"[[ 1.18147394+5.08568951e-03j -0.68086837+2.55289005e-07j]
 [-0.68112185+2.55288683e-07j  2.81852617+5.08556233e-03j]]"
-526.1243696923613j,"[[ 1.18146942+5.12906074e-03j -0.68093175+2.51618603e-07j]
 [-0.68118523+2.51618222e-07j  2.81853056+5.12903646e-03j]]"
-525.7547705566448j,"[[ 1.18146292+5.12058045e-03j -0.68096127+2.16879738e-07j]
 [-0.68121475+2.16879359e-07j  2.81853703+5.12057899e-03j]]"
-525.3851714209284j,"[[ 1.18143871+5.04909646e-03j -0.68097276+1.92901147e-07j]
 [-0.68122624+1.92900802e-07j  2.81856134+5.04903219e-03j]]"
-525.0155722852119j,"[[ 1.18141892+4.94539074e-03j -0.68091838+2.05463782e-07j]
 [-0.68117186+2.05463548e-07j  2.81858129+4.94530649e-03j]]"
-524.6459731494954j,"[[ 1.18137143+4.96397815e-03j -0.68081914+2.23497932e-07j]
 [-0.68107262+2.23497800e-07j  2.81862889+4.96397380e-03j]]"
-524.276374013779j,"[[ 1.18135916+5.03480810e-03j -0.68079073+2.06169501e-07j]
 [-0.68104421+2.06169445e-07j  2.81864123+5.03494156e-03j]]"
-523.9067748780626j,"[[ 1.1814247 +5.00860099e-03j -0.68080976+1.59565494e-07j]
 [-0.68106324+1.59565523e-07j  2.81857575+5.00883687e-03j]]"
-523.5371757423461j,"[[ 1.18146875+4.91128064e-03j -0.68079052+1.36255461e-07j]
 [-0.681044  +1.36255537e-07j  2.81853171+4.91148882e-03j]]"
-523.1675766066297j,"[[ 1.18148797+4.91213052e-03j -0.68073015+1.53326367e-07j]
 [-0.68098363+1.53326398e-07j  2.81851242+4.91228526e-03j]]"
-522.7979774709132j,"[[ 1.1814592 +4.96976945e-03j -0.68066194+1.61642638e-07j]
 [-0.68091542+1.61642674e-07j  2.81854112+4.96989506e-03j]]"
-522.4283783351968j,"[[ 1.18141957+5.04980547e-03j -0.68065153+1.54516807e-07j]
 [-0.68090501+1.54516825e-07j  2.8185807 +5.04987965e-03j]]"
-522.0587791994803j,"[[ 1.18142724+5.12691584e-03j -0.68064007+1.25733289e-07j]
 [-0.68089355+1.25733250e-07j  2.81857302+5.12688066e-03j]]"
-521.6891800637638j,"[[ 1.18146489+5.18505829e-03j -0.68059239+6.27418392e-08j]
 [-0.68084587+6.27417413e-08j  2.81853538+5.18492213e-03j]]"
-521.3195809280475j,"[[ 1.18154786+5.19434329e-03j -0.6805818 +2.27919734e-08j]
 [-0.68083528+2.27918887e-08j  2.81845248+5.19418581e-03j]]"
-520.949981792331j,"[[ 1.1816029 +5.22005801e-03j -0.68060726+2.86713591e-08j]
 [-0.68086074+2.86712845e-08j  2.81839753+5.21998103e-03j]]"
-520.5803826566145j,"[[ 1.18157541+5.29115034e-03j -0.68064807+4.43598714e-08j]
 [-0.68090155+4.43598751e-08j  2.81842504+5.29116940e-03j]]"
-520.2107835208981j,"[[ 1.18152315+5.32003978e-03j -0.68068164+5.17229893e-08j]
 [-0.68093512+5.17230326e-08j  2.8184772 +5.32013843e-03j]]"
-519.8411843851817j,"[[ 1.18151621+5.34698136e-03j -0.68073253+3.21411355e-08j]
 [-0.68098601+3.21411530e-08j  2.81848399+5.34709295e-03j]]"
-519.4715852494652j,"[[ 1.18151484+5.30126105e-03j -0.68077184-2.39008539e-09j]
 [-0.68102532-2.39019701e-09j  2.8184852 +5.30138994e-03j]]"
-519.1019861137488j,"[[ 1.18153314+5.23854261e-03j -0.68079064-3.58809509e-08j]
 [-0.68104412-3.58811786e-08j  2.81846678+5.23866560e-03j]]"
-518.7323869780323j,"[[ 1.18151248+5.21031750e-03j -0.68078937-6.13288029e-08j]
 [-0.68104285-6.13291596e-08j  2.81848737+5.21034458e-03j]]"
-518.3627878423158j,"[[ 1.18148024+5.18650606e-03j -0.68077878-8.45527415e-08j]
 [-0.68103226-8.45531326e-08j  2.81851959+5.18642347e-03j]]"
-517.9931887065994j,"[[ 1.18141702+5.25046222e-03j -0.68078844-1.25720029e-07j]
 [-0.68104192-1.25720417e-07j  2.81858282+5.25036830e-03j]]"
-517.6235895708829j,"[[ 1.18141521+5.29439905e-03j -0.68081869-1.90966188e-07j]
 [-0.68107217-1.90966605e-07j  2.81858466+5.29434150e-03j]]"
-517.2539904351665j,"[[ 1.18144749+5.21108074e-03j -0.68084547-2.20601316e-07j]
 [-0.68109895-2.20601707e-07j  2.81855245+5.21103626e-03j]]"
-516.88439129945j,"[[ 1.18149206+5.09589405e-03j -0.68086773-2.17597078e-07j]
 [-0.68112121-2.17597407e-07j  2.81850792+5.09581716e-03j]]"
-516.5147921637335j,"[[ 1.18154455+4.99899654e-03j -0.68084147-2.18262523e-07j]
 [-0.68109495-2.18262801e-07j  2.81845544+4.99895245e-03j]]"
-516.1451930280173j,"[[ 1.18151745+4.92571326e-03j -0.68079378-1.97129070e-07j]
 [-0.68104726-1.97129232e-07j  2.8184826 +4.92574002e-03j]]"
-515.7755938923008j,"[[ 1.18149075+4.92649643e-03j -0.68073759-1.68256368e-07j]
 [-0.68099107-1.68256489e-07j  2.81850938+4.92653392e-03j]]"
-515.4059947565843j,"[[ 1.18149537+5.00853301e-03j -0.68068081-1.61497465e-07j]
 [-0.68093429-1.61497588e-07j  2.81850485+5.00849287e-03j]]"
-515.0363956208679j,"[[ 1.18154578+5.11483519e-03j -0.68068808-1.70001787e-07j]
 [-0.68094156-1.70001779e-07j  2.81845453+5.11465925e-03j]]"
-514.6667964851514j,"[[ 1.18159537+5.23293561e-03j -0.68075047-1.77455000e-07j]
 [-0.68100395-1.77454790e-07j  2.81840507+5.23269069e-03j]]"
-514.2971973494349j,"[[ 1.18166352+5.23486129e-03j -0.68078825-1.79102945e-07j]
 [-0.68104173-1.79102624e-07j  2.8183371 +5.23463838e-03j]]"
-513.9275982137185j,"[[ 1.18173895+5.15494611e-03j -0.68080002-1.63432480e-07j]
 [-0.6810535 -1.63432064e-07j  2.81826181+5.15470791e-03j]]"
-513.557999078002j,"[[ 1.18175238+5.04242117e-03j -0.68081837-1.22973777e-07j]
 [-0.68107185-1.22973322e-07j  2.81824843+5.04215934e-03j]]"
-513.1883999422856j,"[[ 1.18170641+4.89935038e-03j -0.68078931-8.09076971e-08j]
 [-0.68104279-8.09072760e-08j  2.81829437+4.89911851e-03j]]"
-512.8188008065691j,"[[ 1.18161972+4.78888193e-03j -0.68075624-4.74347069e-08j]
 [-0.68100972-4.74343051e-08j  2.81838098+4.78871000e-03j]]"
-512.4492016708527j,"[[ 1.18153982+4.74795751e-03j -0.68068885-9.32867270e-09j]
 [-0.68094233-9.32827896e-09j  2.81846082+4.74778617e-03j]]"
-512.0796025351364j,"[[ 1.18153754+4.74358857e-03j -0.68058766+3.19756464e-09j]
 [-0.68084114+3.19796932e-09j  2.81846306+4.74334584e-03j]]"
-511.7100033994198j,"[[ 1.18154939+4.81645032e-03j -0.68052608-7.35277714e-09j]
 [-0.68077956-7.35221945e-09j  2.81845125+4.81624777e-03j]]"
-511.34040426370336j,"[[ 1.18154401+4.93622239e-03j -0.68050304+9.95801164e-10j]
 [-0.68075652+9.96433713e-10j  2.81845667+4.93612871e-03j]]"
-510.970805127987j,"[[ 1.18146105+5.10413357e-03j -0.68051741+3.98448344e-08j]
 [-0.68077089+3.98454437e-08j  2.81853965+5.10418877e-03j]]"
-510.6012059922705j,"[[ 1.18140414+5.22333218e-03j -0.6805884 +7.68708477e-08j]
 [-0.68084188+7.68713823e-08j  2.81859649+5.22346729e-03j]]"
-510.231606856554j,"[[ 1.18141365+5.28352772e-03j -0.68062839+1.14246252e-07j]
 [-0.68088187+1.14246622e-07j  2.81858684+5.28363666e-03j]]"
-509.8620077208376j,"[[ 1.18143466+5.24021975e-03j -0.68062377+1.31934078e-07j]
 [-0.68087725+1.31934268e-07j  2.81856568+5.24029011e-03j]]"
-509.49240858512115j,"[[ 1.1814479 +5.21434845e-03j -0.68061869+1.38834748e-07j]
 [-0.68087217+1.38834872e-07j  2.81855234+5.21438637e-03j]]"
-509.12280944940477j,"[[ 1.18149339+5.23125227e-03j -0.68063261+1.55417909e-07j]
 [-0.6808861 +1.55417980e-07j  2.81850682+5.23127278e-03j]]"
-508.75321031368827j,"[[ 1.18150096+5.25378557e-03j -0.68067646+1.63712908e-07j]
 [-0.68092994+1.63712960e-07j  2.81849929+5.25375874e-03j]]"
-508.3836111779718j,"[[ 1.18150243+5.21907098e-03j -0.68075463+1.55965495e-07j]
 [-0.68100811+1.55965634e-07j  2.81849787+5.21888706e-03j]]"
-508.0140120422554j,"[[ 1.18149104+5.20711039e-03j -0.68081687+1.13435134e-07j]
 [-0.68107035+1.13435384e-07j  2.81850931+5.20683978e-03j]]"
-507.64441290653895j,"[[ 1.18150232+5.21694746e-03j -0.68083554+7.93326336e-08j]
 [-0.68108902+7.93330707e-08j  2.81849816+5.21665898e-03j]]"
-507.27481377082245j,"[[ 1.18159733+5.26291040e-03j -0.68082923+6.92898191e-08j]
 [-0.68108271+6.92904210e-08j  2.81840329+5.26274538e-03j]]"
-506.90521463510606j,"[[ 1.18172285+5.29531655e-03j -0.68081389+6.49424096e-08j]
 [-0.68106737+6.49431347e-08j  2.81827789+5.29529577e-03j]]"
-506.53561549938956j,"[[ 1.18180171+5.32892507e-03j -0.68084488+6.67667264e-08j]
 [-0.68109836+6.67675219e-08j  2.81819907+5.32898841e-03j]]"
-506.16601636367307j,"[[ 1.18188652+5.29401059e-03j -0.68089254+6.65583848e-08j]
 [-0.68114602+6.65591971e-08j  2.81811419+5.29410239e-03j]]"
-505.7964172279567j,"[[ 1.1819407 +5.22835151e-03j -0.68091186+5.06940851e-08j]
 [-0.68116534+5.06949224e-08j  2.81806001+5.22844774e-03j]]"
-505.42681809224024j,"[[ 1.18191018+5.16394443e-03j -0.68089823+7.06768682e-08j]
 [-0.68115171+7.06777805e-08j  2.81809062+5.16402657e-03j]]"
-505.05721895652385j,"[[ 1.18181465+5.12088174e-03j -0.68081336+1.42845196e-07j]
 [-0.68106684+1.42846124e-07j  2.81818618+5.12098538e-03j]]"
-504.68761982080736j,"[[ 1.18171462+5.12430665e-03j -0.68075287+2.07177226e-07j]
 [-0.68100635+2.07178055e-07j  2.81828613+5.12440950e-03j]]"
-504.31802068509086j,"[[ 1.18165829+5.18270487e-03j -0.68075156+2.34453196e-07j]
 [-0.68100504+2.34453831e-07j  2.81834231+5.18279937e-03j]]"
-503.9484215493745j,"[[ 1.18166157+5.25828738e-03j -0.68073744+2.30566758e-07j]
 [-0.68099092+2.30567265e-07j  2.81833894+5.25836325e-03j]]"
-503.57882241365803j,"[[ 1.18176182+5.34342242e-03j -0.68076107+2.24163987e-07j]
 [-0.68101455+2.24164422e-07j  2.81823869+5.34343143e-03j]]"
-503.20922327794153j,"[[ 1.18182457+5.34075929e-03j -0.68084353+1.97703082e-07j]
 [-0.68109701+1.97703450e-07j  2.818176  +5.34079826e-03j]]"
-502.83962414222515j,"[[ 1.18180759+5.26668979e-03j -0.68093983+1.92067578e-07j]
 [-0.68119331+1.92067883e-07j  2.81819296+5.26682640e-03j]]"
-502.47002500650865j,"[[ 1.18187175+5.10218526e-03j -0.68095727+2.08334213e-07j]
 [-0.68121075+2.08334449e-07j  2.81812868+5.10240920e-03j]]"
-502.10042587079215j,"[[ 1.18194467+4.97997938e-03j -0.68094782+1.76357951e-07j]
 [-0.6812013 +1.76358105e-07j  2.81805564+4.98023769e-03j]]"
-501.7308267350758j,"[[ 1.1819272 +4.96432784e-03j -0.68096059+1.42218422e-07j]
 [-0.68121407+1.42218546e-07j  2.8180731 +4.96456590e-03j]]"
-501.3612275993593j,"[[ 1.18189279+4.98139789e-03j -0.68093289+1.41681104e-07j]
 [-0.68118636+1.41681121e-07j  2.81810747+4.98162983e-03j]]"
-500.99162846364294j,"[[ 1.18189646+5.01534460e-03j -0.68088863+1.23422817e-07j]
 [-0.68114211+1.23422727e-07j  2.81810364+5.01560857e-03j]]"
-500.62202932792644j,"[[ 1.18181784+5.03083706e-03j -0.68085295+1.05741125e-07j]
 [-0.68110643+1.05741063e-07j  2.8181821 +5.03112016e-03j]]"
-500.25243019220994j,"[[ 1.18172589+5.06132209e-03j -0.68085093+6.55604489e-08j]
 [-0.68110441+6.55604829e-08j  2.81827401+5.06153705e-03j]]"
-499.8828310564936j,"[[ 1.18172525+5.12057912e-03j -0.68089425+3.63720527e-08j]
 [-0.68114773+3.63722296e-08j  2.81827488+5.12067784e-03j]]"
-499.5132319207771j,"[[ 1.18179156+5.18818297e-03j -0.68099102+6.44659099e-08j]
 [-0.6812445 +6.44662446e-08j  2.81820883+5.18823131e-03j]]"
-499.1436327850606j,"[[ 1.18180977+5.23420958e-03j -0.68109705+1.00430357e-07j]
 [-0.68135053+1.00430766e-07j  2.81819069+5.23427071e-03j]]"
-498.77403364934423j,"[[ 1.18177436+5.21420684e-03j -0.68111962+1.15275181e-07j]
 [-0.6813731 +1.15275618e-07j  2.81822602+5.21437533e-03j]]"
-498.40443451362773j,"[[ 1.18166759+5.17359289e-03j -0.68106349+8.97485966e-08j]
 [-0.68131697+8.97490577e-08j  2.81833264+5.17377209e-03j]]"
-498.0348353779113j,"[[ 1.18158924+5.17689092e-03j -0.68102971+4.93774758e-08j]
 [-0.68128319+4.93778991e-08j  2.81841093+5.17693539e-03j]]"
-497.6652362421949j,"[[ 1.181517  +5.13941315e-03j -0.68098403+4.59516550e-08j]
 [-0.68123751+4.59519461e-08j  2.81848313+5.13935806e-03j]]"
-497.2956371064784j,"[[ 1.18149103+5.11716030e-03j -0.68089202+4.29302871e-08j]
 [-0.6811455 +4.29304512e-08j  2.81850905+5.11711278e-03j]]"
-496.926037970762j,"[[ 1.1815329 +5.15195120e-03j -0.68079679+8.59977794e-10j]
 [-0.68105027+8.60024233e-10j  2.81846711+5.15190702e-03j]]"
-496.5564388350455j,"[[ 1.18160579+5.17800939e-03j -0.68072258-4.14998696e-08j]
 [-0.68097606-4.14998246e-08j  2.81839427+5.17793887e-03j]]"
-496.1868396993291j,"[[ 1.18164735+5.21818035e-03j -0.68067986-3.55862459e-08j]
 [-0.68093334-3.55861863e-08j  2.81835285+5.21805538e-03j]]"
-495.8172405636127j,"[[ 1.1816252 +5.28975385e-03j -0.68068122+6.28915839e-10j]
 [-0.6809347 +6.28913737e-10j  2.81837506+5.28964691e-03j]]"
-495.4476414278962j,"[[ 1.18156658+5.40785881e-03j -0.68072842+3.52038907e-08j]
 [-0.6809819 +3.52038214e-08j  2.81843364+5.40786252e-03j]]"
-495.0780422921797j,"[[ 1.1815715 +5.53145131e-03j -0.68079415+4.96692290e-08j]
 [-0.68104764+4.96691777e-08j  2.81842864+5.53160115e-03j]]"
-494.7084431564633j,"[[ 1.18164684+5.59588103e-03j -0.68086111+5.15956943e-08j]
 [-0.68111459+5.15956049e-08j  2.81835321+5.59606596e-03j]]"
